종목코드,종목명,지배비율,순차입금,매출액_2023,매출액_2024,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2023,영업이익_2024,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,매출액_성장률_2025,매출액_성장률_2026,매출액_성장률_2027,매출액_성장률_2028,매출액_최대성장률,영업이익_성장률_2025,영업이익_성장률_2026,영업이익_성장률_2027,영업이익_성장률_2028,영업이익_최대성장률,데이터_가용성,가용_연도수,PER,PBR,ROE,부채비율,평균거래량_20d,최근거래일_거래량,OBV_trend,RSI,저항선,지지선,MA_align,MACD_signal,외인_5d,외인_20d,기관_5d,기관_20d,시장,현재가,시가총액,Recent_Volume,거래량배수,업종,컨센_보강,컨센_보강일
000270,기아,0.9995,-211997.07,998084.2,1074487.52,1141409.19,1255485.24,1307687.84,1362258.91,116078.73,126671.39,90781.48,101666.04,111115.0,120413.32,6.23,9.99,4.16,4.17,9.99,-28.33,11.99,9.29,8.37,11.99,4년치 존재,4,,,11.61,65.14,779100.0,786788.0,down,34.9,160700.0,119000.0,down,bear,-264008.0,-158942.0,-155067.0,-1231997.0,KOSPI,119000,464591,786788,1.0,자동차,False,
068270,셀트리온,0.9945,26085.71,21764.32,35573.04,41624.95,55396.11,64267.33,71626.18,6514.81,4920.16,11684.71,18569.94,22905.72,25840.59,17.01,33.08,16.01,11.45,33.08,137.49,58.93,23.35,12.81,137.49,4년치 존재,4,,,9.16,31.33,396677.0,336667.0,down,40.0,210500.0,170100.0,down,bear,-236000.0,-338682.0,185280.0,-633597.0,KOSPI,178300,414756,336667,0.8,제약,False,
034730,SK,0.3947,496014.83,1287984.68,1233996.69,1227033.38,1480609.0,1456331.0,1514952.1,47539.82,23960.02,18184.76,115600.08,110268.08,126485.5,-0.56,20.67,-1.64,4.03,20.67,-24.1,535.7,-4.61,14.71,535.7,4년치 존재,4,,,25.41,107.92,130338.0,115181.0,up,54.1,834000.0,468500.0,down,bull_cross,-55549.0,182674.0,71433.0,-75417.0,KOSPI,588000,426316,115181,0.9,석유와가스,False,
000810,삼성화재,1.0,,208247.07,226569.68,247785.2,,,,23572.83,26495.97,26591.43,32316.92,38353.46,37044.0,9.36,,,,9.36,0.36,21.53,18.68,-3.41,21.53,4년치 존재,4,,,8.13,,104110.0,74675.0,down,48.9,702000.0,587000.0,mixed,bear,-29752.0,-139643.0,18786.0,145527.0,KOSPI,652000,291102,74675,0.7,손해보험,False,
009540,HD한국조선해양,0.8002,-110945.45,212962.06,255385.77,299332.15,348635.82,380053.73,409596.27,2822.61,14340.9,39044.9,61927.36,73808.18,84712.82,17.21,16.47,9.01,7.77,17.21,172.26,58.61,19.19,14.77,172.26,4년치 존재,4,,,25.71,146.91,159512.0,132159.0,down,44.8,404000.0,327000.0,down,bear,-776.0,-14485.0,-2053.0,13086.0,KOSPI,340500,240982,132159,0.8,조선,False,
005490,POSCO홀딩스,0.9054,179179.05,771271.97,726881.43,690948.86,736454.05,761427.89,787309.78,35314.23,21735.73,18270.63,30929.47,38389.58,44428.17,-4.94,6.59,3.39,3.4,6.59,-15.94,69.29,24.12,15.73,69.29,4년치 존재,4,,,2.4,70.99,232504.0,169829.0,down,43.2,342000.0,288500.0,mixed,bear,-103478.0,-271442.0,-22519.0,326448.0,KOSPI,317500,251592,169829,0.7,철강,False,
316140,우리금융지주,0.971,,419862.61,466167.2,415483.95,,,,34990.29,42551.9,36748.08,43792.63,47979.69,50413.67,-10.87,,,,-10.87,-13.64,19.17,9.56,5.07,19.17,4년치 존재,4,,,8.71,,3208892.0,1470362.0,up,59.0,36800.0,29000.0,up,bull,-967399.0,14156935.0,950696.0,3497743.0,KOSPI,35850,264138,1470362,0.5,은행,False,
298040,효성중공업,0.9855,5156.8,43005.72,48949.8,59685.12,71937.5,85611.07,100314.0,2578.37,3624.79,7469.68,11297.29,15675.29,20398.85,21.93,20.53,19.01,17.17,21.93,106.07,51.24,38.75,30.13,106.07,4년치 존재,4,,,25.34,213.51,38410.0,34193.0,up,52.9,3718000.0,1894000.0,up,bull,29965.0,5988.0,4746.0,-487.0,KOSPI,2919000,272184,34193,0.9,전기장비,False,
011200,HMM,1.0,-65426.06,84009.69,117002.24,108914.43,128262.08,118185.15,115644.92,5847.7,35128.47,14612.02,16185.69,10474.85,8921.92,-6.91,17.76,-7.86,-2.15,17.76,-58.4,10.77,-35.28,-14.83,10.77,4년치 존재,4,,,5.2,29.42,947985.0,385779.0,up,51.4,22850.0,18610.0,mixed,bear,-28834.0,285515.0,405001.0,-113808.0,KOSPI,21200,199966,385779,0.4,해운사,False,
017670,SK텔레콤,1.0,82031.19,176085.11,179406.09,170992.13,176591.15,180127.6,184044.25,17532.04,18234.09,10732.15,19601.15,20848.25,22035.6,-4.69,3.27,2.0,2.17,3.27,-41.14,82.64,6.36,5.7,82.64,4년치 존재,4,,,5.48,109.29,941602.0,795394.0,down,40.9,102300.0,78200.0,mixed,bear,238448.0,125226.0,-332791.0,-1523888.0,KOSPI,87200,187297,795394,0.8,무선통신서비스,False,
