종목코드,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,지배비율,순차입금,시가총액,현재가,PER,업종,시장
005930,3336059.38,7362011.5,9556911.95,10205997.94,436010.51,3877835.91,5547207.68,5562056.78,0.9873,-1675903.07,14966473,256000,,반도체와반도체장비,KOSPI
005935,3336059.38,7362011.5,9556911.95,10205997.94,436010.51,3877835.91,5547207.68,5562056.78,0.9873,-1675903.07,1573450,196100,,반도체와반도체장비,KOSPI
402340,104555.53,180990.0,228216.67,230443.33,87974.21,482125.33,600482.5,606465.0,1.0,-13112.77,1344306,1019000,,반도체와반도체장비,KOSPI
105560,812307.08,,,,85177.11,94482.56,95887.75,98431.93,0.9916,,637374,179700,,은행,KOSPI
000660,971466.75,3439269.39,5062789.26,5562404.79,472063.19,2649256.61,3973945.26,4105474.74,0.9986,-668447.84,12900495,1766000,,반도체와반도체장비,KOSPI
028260,407422.41,455707.07,493136.15,514226.67,32927.47,38109.0,44037.31,47717.17,0.7038,-38038.9,579749,357500,,복합기업,KOSPI
012450,267029.01,324104.0,346517.32,371269.32,30893.2,46453.95,57056.37,63529.53,0.6486,67515.16,566166,1098000,,우주항공과국방,KOSPI
032830,371383.1,,,,25804.69,34544.25,69533.25,45800.38,1.0,,566000,283000,,생명보험,KOSPI
034730,1227033.38,1498106.36,1465789.73,1525543.78,18184.76,123365.55,118064.0,136976.78,0.3895,496014.83,395865,546000,,석유와가스,KOSPI
086790,689436.35,,,,53508.98,59870.47,62471.88,65090.5,0.9849,,375293,138500,,은행,KOSPI
006400,132667.31,159236.47,197164.89,242770.59,-17223.61,3894.84,14703.05,25229.94,0.8598,106775.0,439191,545000,,전기제품,KOSPI
068270,41624.95,55396.11,64267.33,71626.18,11684.71,18569.94,22905.72,25840.59,0.9945,26085.71,421735,181300,,제약,KOSPI
005490,690948.86,736454.05,761427.89,787309.78,18270.63,30929.47,38389.58,44428.17,0.9054,179179.05,259912,328000,,철강,KOSPI
010120,49657.99,65415.13,80098.75,94441.47,4264.07,7199.81,10368.5,13510.6,1.0,8044.96,304500,203000,,전기장비,KOSPI
316140,415483.95,,,,36748.08,43792.63,47979.69,50413.67,0.971,,268190,36400,,은행,KOSPI
298040,59685.12,71937.5,85611.07,100314.0,7469.68,11297.29,15675.29,20398.85,0.9855,5156.8,267335,2867000,,전기장비,KOSPI
000150,197841.38,218423.83,252348.5,284230.0,10627.15,18124.92,25064.08,31031.0,0.5085,54570.67,228819,1413000,,복합기업,KOSPI
010130,165878.51,239348.29,238733.43,247067.33,12319.27,22605.0,19968.86,21588.83,0.9981,60740.67,236908,1135000,,비철금속,KOSPI
096770,802960.54,1038783.23,947424.54,936239.38,4486.84,90344.38,46164.85,42607.85,0.8777,261185.73,235152,139100,,석유와가스,KOSPI
042700,5766.85,8196.0,11239.0,13148.0,2513.9,3822.0,5617.0,6843.0,1.0,-862.95,217312,228000,,반도체와반도체장비,KOSPI
047050,323736.04,351290.15,359681.0,369320.46,11653.16,14652.08,15480.15,16311.15,0.9581,67614.96,102211,58100,,무역회사와판매업체,KOSPI
017670,170992.13,176591.15,180127.6,184044.25,10732.15,19601.15,20848.25,22035.6,1.0,82031.19,188586,87800,,무선통신서비스,KOSPI
010140,106500.11,128043.0,147291.2,160230.32,8622.11,13715.45,19732.7,23490.26,1.0,-1987.7,189640,21550,,조선,KOSPI
267250,712594.38,847697.0,898414.8,962317.4,60996.36,123888.0,115708.8,128127.4,0.3936,7714.96,176945,224000,,조선,KOSPI
018260,139298.68,144025.87,151545.0,159241.71,9571.03,8237.2,10686.33,11809.86,0.9821,-57031.26,168684,218000,,IT서비스,KOSPI
024110,292172.06,,,,36555.89,37151.23,40117.54,42377.25,0.9937,,161877,20300,,은행,KOSPI
079550,43069.36,51246.63,60817.44,71302.56,3194.42,4489.81,6269.5,8384.56,1.0,16723.11,156420,711000,,우주항공과국방,KOSPI
000720,310629.12,269351.95,285995.8,307547.89,6530.06,8672.35,11284.55,13747.94,0.7675,6231.61,140865,126500,,건설,KOSPI
030200,282441.61,273840.06,280104.39,286069.06,24691.33,21203.89,22642.44,23659.22,0.9332,95653.68,135084,53600,,다각화된통신서비스,KOSPI
055550,646819.6,,,,70233.57,80829.75,84632.75,87826.2,0.993,,535643,114100,,은행,KOSPI
005830,230479.16,,,,23839.5,,,,0.7872,,126940,193800,,손해보험,KOSPI
047810,36963.79,53896.35,67197.59,75705.59,2691.9,3523.12,5845.53,7390.65,0.9904,27887.67,127595,130900,,우주항공과국방,KOSPI
006260,318700.31,410841.55,437010.73,461406.2,10525.54,19996.27,22339.82,25700.6,0.6196,104616.6,95940,307500,,전기장비,KOSPI
000270,1141409.19,1255837.76,1309708.12,1362258.91,90781.48,101847.36,111684.6,120413.32,1.0,-211997.07,473961,121400,,자동차,KOSPI
066570,892008.82,966484.59,1010770.71,1052523.07,24783.92,46394.53,49360.82,60193.13,0.8057,41258.6,324792,199400,,전자제품,KOSPI
443060,19827.01,23571.22,26187.67,30079.33,3501.41,4136.67,5257.0,6593.0,1.0,-5145.06,108273,241500,,조선,KOSPI
078930,251841.27,286612.8,281332.2,283044.0,29360.61,51915.0,36700.0,36994.0,0.8262,61654.03,106087,114200,,석유와가스,KOSPI
009540,299332.15,348635.82,380053.73,409596.27,39044.9,61927.36,73808.18,84712.82,0.8002,-110945.45,246644,348500,,조선,KOSPI
015760,974293.46,976316.69,989840.85,1008147.08,134905.57,78234.69,110807.31,129654.67,0.9593,1306591.75,199972,31150,,전기유틸리티,KOSPI
000880,747854.4,931510.0,962515.0,1004085.0,41468.83,70780.0,81990.0,87975.0,0.3127,46978.59,74074,138900,,복합기업,KOSPI
