종목코드,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,지배비율,순차입금,시가총액,현재가,PER,업종,시장
402340,104555.53,130986.0,152484.0,151568.0,87974.21,496238.4,603879.0,607606.0,1.0,-13112.77,1496018,1134000,,반도체와반도체장비,KOSPI
005930,3336059.38,7362011.5,9556911.95,10205997.94,436010.51,3877835.91,5547207.68,5562056.78,0.9873,-1675903.07,16223423,277500,,반도체와반도체장비,KOSPI
005935,3336059.38,7362011.5,9556911.95,10205997.94,436010.51,3877835.91,5547207.68,5562056.78,0.9873,-1675903.07,1705039,212500,,반도체와반도체장비,KOSPI
000660,971466.75,3439269.39,5062789.26,5562404.79,472063.19,2649256.61,3973945.26,4105474.74,0.9986,-668447.84,13448364,1841000,,반도체와반도체장비,KOSPI
032830,371383.1,,,,25804.69,34544.25,69533.25,45800.38,1.0,,581000,290500,,생명보험,KOSPI
034020,170578.76,183496.38,205211.2,229828.2,7627.12,11307.5,16256.4,20657.27,0.6463,45793.89,554726,86600,,기계,KOSPI
028260,407422.41,455762.79,492850.0,515467.69,32927.47,37981.14,44103.21,47918.15,0.7051,-38038.9,591101,364500,,복합기업,KOSPI
207940,45569.72,54951.31,64069.0,68466.8,20692.21,24162.15,28197.58,30980.9,0.9985,-9473.01,644370,1392000,,제약,KOSPI
064350,58390.32,68395.0,77290.82,88512.19,10056.41,10808.24,13191.12,16463.56,0.997,-24542.29,128897,118100,,우주항공과국방,KOSPI
086790,689436.35,,,,53508.98,59870.47,62471.88,65090.5,0.9849,,367977,135800,,은행,KOSPI
000270,1141409.19,1255485.24,1307687.84,1362258.91,90781.48,101666.04,111115.0,120413.32,0.9995,-211997.07,464591,119000,,자동차,KOSPI
068270,41624.95,55396.11,64267.33,71626.18,11684.71,18569.94,22905.72,25840.59,0.9945,26085.71,414756,178300,,제약,KOSPI
034730,1227033.38,1480609.0,1456331.0,1514952.1,18184.76,115600.08,110268.08,126485.5,0.3947,496014.83,426316,588000,,석유와가스,KOSPI
000810,247785.2,,,,26591.43,32316.92,38353.46,37044.0,1.0,,291102,652000,,손해보험,KOSPI
009540,299332.15,348635.82,380053.73,409596.27,39044.9,61927.36,73808.18,84712.82,0.8002,-110945.45,240982,340500,,조선,KOSPI
005490,690948.86,736454.05,761427.89,787309.78,18270.63,30929.47,38389.58,44428.17,0.9054,179179.05,251592,317500,,철강,KOSPI
316140,415483.95,,,,36748.08,43792.63,47979.69,50413.67,0.971,,264138,35850,,은행,KOSPI
298040,59685.12,71937.5,85611.07,100314.0,7469.68,11297.29,15675.29,20398.85,0.9855,5156.8,272184,2919000,,전기장비,KOSPI
011200,108914.43,128262.08,118185.15,115644.92,14612.02,16185.69,10474.85,8921.92,1.0,-65426.06,199966,21200,,해운사,KOSPI
017670,170992.13,176591.15,180127.6,184044.25,10732.15,19601.15,20848.25,22035.6,1.0,82031.19,187297,87200,,무선통신서비스,KOSPI
015760,974293.46,976053.36,989070.07,1006913.46,134905.57,77650.79,111501.07,133061.23,0.9581,1306591.75,198367,30900,,전기유틸리티,KOSPI
006260,318700.31,412539.7,440985.8,467020.22,10525.54,20096.9,22624.8,26110.67,0.6209,104616.6,101868,326500,,전기장비,KOSPI
086280,295664.09,331591.41,345729.82,359207.5,20730.08,21591.94,23576.06,24881.25,0.9987,-5446.09,151875,202500,,항공화물운송과물류,KOSPI
018260,139298.68,144025.87,151503.67,159438.86,9571.03,8237.2,10685.67,11870.57,0.982,-57031.26,174100,225000,,IT서비스,KOSPI
010950,342469.57,423290.36,400661.43,380808.86,2356.31,44401.14,33113.43,28485.57,1.0,75316.31,172477,153200,,석유와가스,KOSPI
010140,106500.11,127840.5,147204.7,160306.11,8622.11,13686.45,19754.7,23538.16,1.0,-1987.7,182160,20700,,조선,KOSPI
000720,310629.12,269351.95,285527.55,306832.89,6530.06,8658.0,11338.9,13770.17,0.7661,6231.61,146767,131800,,건설,KOSPI
012450,267029.01,324104.0,346517.32,371269.32,30893.2,46453.95,57056.37,63529.53,0.6486,67515.16,547603,1062000,,우주항공과국방,KOSPI
278470,15273.45,30830.4,42668.9,52829.95,3655.21,7659.4,10805.7,13547.95,0.9986,-1952.48,135526,362000,,화장품,KOSPI
