종목코드,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,지배비율,순차입금,시가총액,현재가,PER,업종,시장
005380,1862545.0,1939054.0,2027830.2,2127367.9,114679.0,114487.0,132356.96,142401.33,0.9145,1025242.74,794460,388000,4.67,자동차,KOSPI
005935,3336059.0,7396375.0,9559864.68,10181876.28,436010.0,3912503.0,5531305.86,5516795.67,0.9873,-1675903.07,1584683,197500,36.84,반도체와반도체장비,KOSPI
000660,971467.0,3442818.0,5045811.43,5518524.79,472063.0,2652552.0,3954884.83,4084823.68,0.9986,-668447.84,13557938,1856000,,반도체와반도체장비,KOSPI
005930,3336059.0,7396375.0,9559864.68,10181876.28,436010.0,3912503.0,5531305.86,5516795.67,0.9873,-1675903.07,15755721,269500,36.84,반도체와반도체장비,KOSPI
402340,104556.0,180990.0,228216.67,230443.33,87974.0,482125.0,600482.5,606465.0,1.0,-13112.77,1501295,1138000,,반도체와반도체장비,KOSPI
018260,139299.0,144026.0,151545.0,159241.93,9571.0,8237.0,10686.6,11809.86,0.9821,-57031.26,173713,224500,18.97,IT서비스,KOSPI
066570,892009.0,966485.0,1010770.71,1052523.07,24784.0,46395.0,49360.82,60193.13,0.8057,41258.6,333099,204500,25.82,전자제품,KOSPI
207940,45570.0,54951.0,64069.0,68466.8,20692.0,24162.0,28197.58,30980.9,0.9985,-9473.01,672145,1452000,92.82,제약,KOSPI
012450,267029.0,323987.0,346782.67,370515.72,30893.0,46496.0,57204.44,63569.33,0.6498,67515.16,539869,1047000,7.98,우주항공과국방,KOSPI
033780,65797.0,69880.0,,,13437.0,15328.0,,,,6188.53,174817,168400,13.14,담배,KOSPI
005490,690949.0,736454.0,761427.89,787309.78,18271.0,30929.0,38389.58,44428.17,0.9054,179179.05,267044,337000,24.88,철강,KOSPI
003670,29387.0,32950.0,42661.25,55245.93,328.0,1008.0,1814.31,2833.13,0.8926,35152.63,170866,192100,968.71,화학,KOSPI
105560,812307.0,,,,85177.0,94214.0,95762.0,98427.44,0.9917,,610063,172000,4.77,은행,KOSPI
267250,712594.0,847697.0,898414.8,962317.4,60996.0,123888.0,115708.8,128127.4,0.3936,7714.96,201432,255000,18.91,조선,KOSPI
329180,175806.0,247786.0,266713.56,286251.33,20375.0,40520.0,47401.75,54806.47,1.0,-49151.16,486495,463500,463.89,조선,KOSPI
010950,342470.0,422388.0,398713.93,379444.5,2356.0,44210.0,33031.21,28125.0,1.0,75316.31,186775,165900,8.55,석유와가스,KOSPI
009540,299332.0,344961.0,375340.58,403408.42,39045.0,61584.0,73629.83,84285.17,0.8016,-110945.45,251952,356000,38.59,조선,KOSPI
096770,802961.0,1041172.0,953858.83,954075.42,4487.0,87325.0,45473.17,43849.75,0.8956,261185.73,259496,153500,53.47,석유와가스,KOSPI
