종목코드,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,지배비율,순차입금,시가총액,현재가,PER,업종,시장
005935,3336059.38,7396374.68,9559864.68,10181876.28,436010.51,3912502.73,5531305.86,5516795.67,0.9873,-1675903.07,1469944,183200,,반도체와반도체장비,KOSPI
000660,971466.75,3442818.09,5045811.43,5518524.79,472063.19,2652551.83,3954884.83,4084823.68,0.9986,-668447.84,12294187,1683000,,반도체와반도체장비,KOSPI
005930,3336059.38,7396374.68,9559864.68,10181876.28,436010.51,3912502.73,5531305.86,5516795.67,0.9873,-1675903.07,14528002,248500,,반도체와반도체장비,KOSPI
402340,104555.53,180990.0,228216.67,230443.33,87974.21,482125.33,600482.5,606465.0,1.0,-13112.77,1319240,1000000,,반도체와반도체장비,KOSPI
032830,371383.1,,,,25804.69,34544.25,69533.25,45800.38,1.0,,591000,295500,,생명보험,KOSPI
028260,407422.41,455707.07,493136.15,514226.67,32927.47,38109.0,44037.31,47717.17,0.7038,-38038.9,572452,353000,,복합기업,KOSPI
105560,812307.08,,,,85177.11,94482.56,95887.75,98431.93,0.9916,,642694,181200,,은행,KOSPI
012450,267029.01,324104.0,346517.32,371269.32,30893.2,46453.95,57056.37,63529.53,0.6486,67515.16,584213,1133000,,우주항공과국방,KOSPI
068270,41624.95,55304.44,63606.18,71216.47,11684.71,18550.22,22666.59,25636.65,0.9934,26085.71,411732,177000,,제약,KOSPI
034730,1227033.38,1498106.36,1465789.73,1525543.78,18184.76,123365.55,118064.0,136976.78,0.3895,496014.83,404565,558000,,석유와가스,KOSPI
006400,132667.31,159549.63,197525.95,244078.24,-17223.61,3855.89,14562.53,24984.06,0.8604,106775.0,427909,531000,,전기제품,KOSPI
086790,689436.35,,,,53508.98,59870.47,62471.88,65090.5,0.9849,,380442,140400,,은행,KOSPI
042660,127835.12,158161.4,153472.8,164802.58,11675.9,22521.45,25152.4,28582.0,0.9999,47157.9,261064,85200,,조선,KOSPI
267260,40794.98,46914.13,55469.0,64687.29,9953.13,12327.13,15511.4,18902.79,1.0,-8268.76,263144,730000,,전기장비,KOSPI
010120,49657.99,65415.13,80098.75,94441.47,4264.07,7199.81,10368.5,13510.6,1.0,8044.96,296250,197500,,전기장비,KOSPI
316140,415483.95,,,,36748.08,43792.63,47979.69,50413.67,0.971,,271137,36800,,은행,KOSPI
010130,165878.51,239348.29,238733.43,247067.33,12319.27,22605.0,19968.86,21588.83,0.9981,60740.67,240457,1152000,,비철금속,KOSPI
000150,197841.38,218423.83,252348.5,284230.0,10627.15,18124.92,25064.08,31031.0,0.5085,54570.67,201127,1242000,,복합기업,KOSPI
096770,802960.54,1041171.5,953858.83,954075.42,4486.84,87325.33,45473.17,43849.75,0.8956,261185.73,226362,133900,,석유와가스,KOSPI
015760,974293.46,976316.69,989840.85,1008147.08,134905.57,78234.69,110807.31,129654.67,0.9593,1306591.75,204466,31850,,전기유틸리티,KOSPI
042700,5766.85,8196.0,11239.0,13148.0,2513.9,3822.0,5617.0,6843.0,1.0,-862.95,215406,226000,,반도체와반도체장비,KOSPI
323410,30862.91,,,,6493.71,7389.83,8803.58,9725.45,,,103058,21600,,은행,KOSPI
006800,292830.28,582144.67,493576.0,520335.67,19151.04,47817.2,26232.4,27610.4,0.9734,,177296,32650,,증권,KOSPI
003550,72525.47,82742.67,91080.56,98648.71,9121.74,16128.0,20042.78,22033.57,0.8175,-25430.26,168579,111500,,복합기업,KOSPI
051910,459321.67,560191.17,633172.08,696066.33,11809.0,12712.75,38502.17,53851.08,0.7851,307180.26,188835,267500,,화학,KOSPI
207940,45569.72,54951.31,64069.0,68466.8,20692.21,24162.15,28197.58,30980.9,0.9985,-9473.01,648999,1402000,,제약,KOSPI
009150,113144.59,143411.85,183218.45,234175.28,9133.31,19468.0,37320.5,58742.22,0.9622,-2270.93,987451,1322000,,전자장비와기기,KOSPI
005380,1862544.72,1939053.84,2027830.2,2127367.9,114678.51,114487.16,132356.96,142401.33,0.9145,1025242.74,752485,367500,,자동차,KOSPI
278470,15273.45,30830.37,42386.26,52186.44,3655.21,7666.74,10744.37,13393.0,0.9985,-1952.48,136088,363500,,화장품,KOSPI
272210,36641.51,45383.43,51632.14,59467.07,1198.99,2485.5,4530.64,5778.43,1.0,17248.57,138478,73300,,우주항공과국방,KOSPI
064350,58390.32,68395.0,77290.82,88512.19,10056.41,10808.24,13191.12,16463.56,0.997,-24542.29,134245,123000,,우주항공과국방,KOSPI
030200,282441.61,273840.06,280104.39,286069.06,24691.33,21203.89,22642.44,23659.22,0.9332,95653.68,133824,53100,,다각화된통신서비스,KOSPI
011070,218966.03,254998.63,268909.47,283138.25,6650.07,12757.32,14683.26,17479.81,1.0,9425.44,119756,506000,,전자장비와기기,KOSPI
005830,230479.16,,,,23839.5,,,,0.7872,,125499,191600,,손해보험,KOSPI
047810,36963.79,53939.5,67116.19,75593.44,2691.9,3524.56,5854.63,7396.31,0.9915,27887.67,128375,131700,,우주항공과국방,KOSPI
