종목코드,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,지배비율,순차입금,시가총액,현재가,PER,업종,시장
005930,3336059.38,7396374.68,9559864.68,10181876.28,436010.51,3912502.73,5531305.86,5516795.67,0.9873,-1675903.07,15171093,259500,,반도체와반도체장비,KOSPI
000660,971466.75,3442818.09,5045811.43,5518524.79,472063.19,2652551.83,3954884.83,4084823.68,0.9986,-668447.84,13236522,1812000,,반도체와반도체장비,KOSPI
402340,104555.53,180990.0,228216.67,230443.33,87974.21,482125.33,600482.5,606465.0,1.0,-13112.77,1436652,1089000,,반도체와반도체장비,KOSPI
005935,3336059.38,7396374.68,9559864.68,10181876.28,436010.51,3912502.73,5531305.86,5516795.67,0.9873,-1675903.07,1550984,193300,,반도체와반도체장비,KOSPI
032830,371383.1,,,,25804.69,34544.25,69533.25,45800.38,1.0,,615000,307500,,생명보험,KOSPI
034020,170578.76,183496.5,205117.87,229429.53,7627.12,11307.5,16235.73,20569.27,0.6411,45793.89,581630,90800,,기계,KOSPI
373220,236717.59,324093.5,417233.83,496637.94,13461.2,8298.78,39816.5,61264.18,0.7575,250840.51,842400,360000,,전기제품,KOSPI
028260,407422.41,455707.07,493136.15,514226.67,32927.47,38109.0,44037.31,47717.17,0.7038,-38038.9,595155,367000,,복합기업,KOSPI
034730,1227033.38,1491706.0,1461332.7,1523373.0,18184.76,118566.1,113732.4,132941.38,0.3936,496014.83,424141,585000,,석유와가스,KOSPI
006400,132667.31,159549.63,197525.95,244078.24,-17223.61,3855.89,14562.53,24984.06,0.8604,106775.0,439191,545000,,전기제품,KOSPI
068270,41624.95,55304.44,63606.18,71216.47,11684.71,18550.22,22666.59,25636.65,0.9934,26085.71,414524,178200,,제약,KOSPI
086790,689436.35,,,,53508.98,59870.47,62471.88,65090.5,0.9849,,373397,137800,,은행,KOSPI
005490,690948.86,736454.05,761427.89,787309.78,18270.63,30929.47,38389.58,44428.17,0.9054,179179.05,264667,334000,,철강,KOSPI
298040,59685.12,71937.64,85611.14,100314.0,7469.68,11297.21,15675.43,20398.54,0.9855,5156.8,266123,2854000,,전기장비,KOSPI
000810,247785.2,,,,26591.43,32316.92,38353.46,37044.0,1.0,,306282,686000,,손해보험,KOSPI
267260,40794.98,46914.13,55469.0,64687.29,9953.13,12327.13,15511.4,18902.79,1.0,-8268.76,269272,747000,,전기장비,KOSPI
000150,197841.38,218423.83,252348.5,284230.0,10627.15,18124.92,25064.08,31031.0,0.5085,54570.67,219588,1356000,,복합기업,KOSPI
010130,165878.51,239348.29,238733.43,247067.33,12319.27,22605.0,19968.86,21588.83,0.9981,60740.67,246092,1179000,,비철금속,KOSPI
042700,5766.85,8196.0,11239.0,13148.0,2513.9,3822.0,5617.0,6843.0,1.0,-862.95,220171,231000,,반도체와반도체장비,KOSPI
