종목코드,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,지배비율,순차입금,시가총액,현재가,PER,업종,시장
005940,136989.24,338079.33,290477.33,297504.0,14205.8,23130.94,20109.13,20493.21,0.9664,,97655,26450,,증권,KOSPI
000500,25456.98,32528.5,38910.0,45020.0,791.92,1381.5,2870.0,4140.0,1.0,4290.98,97075,326000,,전기장비,KOSPI
267250,712594.38,846178.0,896322.8,959406.0,60996.36,132852.6,122660.6,132859.2,0.3858,7714.96,166675,211000,,조선,KOSPI
079550,43069.36,51246.63,60817.44,71302.56,3194.42,4489.81,6269.5,8384.56,1.0,16723.11,161260,733000,,우주항공과국방,KOSPI
272210,36641.51,45524.67,51728.67,59519.93,1198.99,2501.67,4527.8,5763.87,1.0,17248.57,145846,77200,,우주항공과국방,KOSPI
064350,58390.32,68395.0,77290.82,88512.19,10056.41,10808.24,13191.12,16463.56,0.997,-24542.29,131516,120500,,우주항공과국방,KOSPI
024110,292172.06,,,,36555.89,37151.23,40117.54,42377.25,0.9937,,160681,20150,,은행,KOSPI
128940,15475.31,17596.72,17945.44,19011.12,2577.99,3664.94,3151.89,3115.76,0.9156,90.87,64824,506000,,제약,KOSPI
003230,23517.85,31414.07,37694.36,42824.4,5241.88,7337.86,8947.86,10510.2,0.9998,424.07,96498,1281000,,식품,KOSPI
005830,230479.16,,,,23839.5,,,,0.7872,,123992,189300,,손해보험,KOSPI
005387,1862544.72,1935858.8,2020377.68,2122667.9,114678.51,113600.16,130562.96,140951.33,0.9124,1025242.74,60802,173900,,자동차,KOSPI
090430,42528.2,47258.21,51770.16,56190.56,3358.27,4871.16,5671.95,6445.78,0.9562,-8086.94,84639,144700,,화장품,KOSPI
241560,87918.88,94797.0,99540.33,102948.33,6861.32,8558.33,9375.33,10349.83,1.0,-3060.2,56363,58800,,기계,KOSPI
029780,43828.54,46825.0,47337.5,49162.5,8536.95,7992.5,8320.0,8603.33,1.0,,50572,43650,,카드,KOSPI
011200,108914.43,128262.08,118185.15,115644.92,14612.02,16185.69,10474.85,8921.92,1.0,-65426.06,198552,21050,,해운사,KOSPI
047050,323736.04,352881.57,360705.93,370717.57,11653.16,14728.36,15554.43,16416.79,0.9594,67614.96,102563,58300,,무역회사와판매업체,KOSPI
006260,318700.31,410841.55,437010.73,461406.2,10525.54,19996.27,22339.82,25700.6,0.6196,104616.6,101868,326500,,전기장비,KOSPI
003670,29386.98,32611.63,42429.75,55076.4,328.27,989.56,1816.13,2826.53,0.8858,35152.63,159570,179400,,화학,KOSPI
323410,30862.91,,,,6493.71,7389.83,8803.58,9725.45,,,96855,20300,,은행,KOSPI
086280,295664.09,331591.41,345729.82,359207.5,20730.08,21591.94,23576.06,24881.25,0.9987,-5446.09,153000,204000,,항공화물운송과물류,KOSPI
018260,139298.68,144025.87,151503.67,159438.86,9571.03,8237.2,10685.67,11870.57,0.982,-57031.26,174100,225000,,IT서비스,KOSPI
010140,106500.11,127840.5,147204.7,160306.11,8622.11,13686.45,19754.7,23538.16,1.0,-1987.7,182600,20750,,조선,KOSPI
009150,113144.59,143386.35,183334.95,235053.06,9133.31,19535.35,37499.6,59438.33,0.9623,-2270.93,1069614,1432000,,전자장비와기기,KOSPI
062040,5019.46,6851.7,8807.3,11180.22,1786.34,2554.2,3384.4,4380.78,1.0,-2155.58,63431,207000,,전기장비,KOSPI
259960,33265.54,48470.22,51875.67,55595.13,10543.81,14507.67,15637.94,16774.93,0.9919,-21242.54,91725,200500,,게임엔터테인먼트,KOSPI
326030,7067.41,9783.44,11815.75,13789.27,2039.38,3506.63,4671.69,6034.07,1.0,-3330.46,61084,78000,,제약,KOSPI
010120,49657.99,65415.13,80098.75,94441.47,4264.07,7199.81,10368.5,13510.6,1.0,8044.96,316500,211000,,전기장비,KOSPI
035420,120350.07,137904.17,157115.57,182214.53,22081.38,21970.3,25735.87,30005.89,0.998,-37918.97,301755,198400,,양방향미디어와서비스,KOSPI
042660,127835.12,158337.05,153197.9,164731.95,11675.9,22486.14,24957.05,28407.4,0.9999,47157.9,252791,82500,,조선,KOSPI
007660,10880.25,16259.13,22826.5,26896.88,2047.25,3494.63,5281.0,6436.25,1.0,408.18,81044,110400,,반도체와반도체장비,KOSPI
011790,18400.36,24877.0,29587.5,34605.0,-3050.25,-688.0,762.5,2495.0,0.8883,22288.37,44093,88900,,화학,KOSPI
271560,33324.43,37739.64,40229.14,42254.5,5582.58,6397.07,6990.86,7436.8,0.9837,-12166.55,44035,111400,,식품,KOSPI
377300,9583.71,12931.5,15015.17,17974.17,503.67,1700.5,2023.67,2468.67,0.8745,-44393.61,54526,40300,,IT서비스,KOSPI
000880,747854.4,892727.0,937852.0,992221.0,41468.83,61013.33,70152.67,75953.0,0.278,46978.59,70501,132200,,복합기업,KOSPI
002380,64838.19,68819.6,71938.0,74602.2,4276.15,4534.0,5024.6,5373.2,1.0,42230.96,40172,467500,,건축자재,KOSPI
028050,90287.69,107231.5,129034.95,141341.5,7920.79,9821.64,11913.23,13226.55,0.9725,-36619.52,102312,52200,,건설,KOSPI
035720,80991.48,83383.0,89654.32,97198.25,7320.37,10366.58,11835.47,13471.0,0.892,-90183.57,147962,33400,,양방향미디어와서비스,KOSPI
138930,101525.1,,,,9026.81,10035.14,11143.71,11736.92,0.9741,,48327,15750,,은행,KOSPI
267270,37765.24,95282.0,105208.57,113469.14,1708.83,7862.43,9423.43,11463.43,1.0,9841.04,65356,137600,,기계,KOSPI
180640,2983.62,,,,-75.24,,,,0.9738,823.32,92866,139100,,항공사,KOSPI
051900,63554.9,64667.87,67727.47,70493.93,1706.89,3790.67,4482.27,4915.79,0.9691,-11373.38,44777,299000,,화장품,KOSPI
0126Z0,2516.9,18577.33,20855.0,22952.67,-636.41,2468.0,3099.67,2558.33,1.0,2467.96,82238,330500,,제약,KOSPI
018880,108837.28,113387.2,117890.45,123224.72,2703.72,4269.5,4976.7,5558.33,0.9894,28264.69,34585,3370,,자동차부품,KOSPI
000990,13972.33,16400.0,18585.0,20130.0,2772.95,4165.0,5525.0,7010.0,0.9967,-9156.2,57774,132800,,반도체와반도체장비,KOSPI
336260,4547.95,5009.67,8336.17,9972.4,-1056.73,-743.0,443.33,751.2,0.9963,5482.62,31895,48700,,에너지장비및서비스,KOSPI
111770,40635.84,45223.86,47373.86,50145.17,5144.39,6424.57,7164.71,7986.83,1.0,-7396.17,31993,72200,,"섬유,의류,신발,호화품",KOSPI
001450,181103.79,,,,12609.94,,,,0.9812,,41601,48800,,손해보험,KOSPI
022100,10751.75,9993.0,11930.0,14487.0,603.89,404.0,735.0,1161.0,0.9898,-2469.25,31243,20550,,IT서비스,KOSPI
052690,5187.68,5747.6,7434.89,9212.67,354.53,634.9,952.78,1507.44,0.9889,-830.03,50183,131300,,전기유틸리티,KOSPI
015760,974293.46,976053.36,989070.07,1006913.46,134905.57,77650.79,111501.07,133061.23,0.9581,1306591.75,198688,30950,,전기유틸리티,KOSPI
039490,171217.04,369379.0,300835.67,307065.67,14882.4,22916.72,19010.89,19670.82,1.0,,69505,265000,,증권,KOSPI
088350,274363.51,,,,11472.5,17329.5,17680.0,18712.0,0.7668,,50027,5760,,생명보험,KOSPI
064400,61295.43,65697.5,71548.25,77959.27,5518.28,5820.75,6680.42,7375.27,0.9971,-10425.1,67626,69800,,IT서비스,KOSPI
088980,,,,,,3460.0,3570.0,3700.0,,,46982,9810,,운송인프라,KOSPI
008930,13569.58,14791.0,,,1387.27,1783.0,,,1.0,856.68,34606,50600,,제약,KOSPI
012450,267029.01,324104.0,346517.32,371269.32,30893.2,46453.95,57056.37,63529.53,0.6486,67515.16,553791,1074000,,우주항공과국방,KOSPI
017800,24673.78,26300.0,29100.0,31900.0,2092.22,2140.0,2190.0,2300.0,1.0,3217.22,29007,74200,,기계,KOSPI
007340,36757.04,45957.0,48911.0,52148.5,5279.08,6949.5,7449.0,8137.0,0.8907,15626.15,28700,49050,,자동차부품,KOSPI
004170,69294.99,73049.33,76082.67,79439.89,4799.62,7906.0,8700.22,9352.44,0.8339,39443.1,33955,359500,,백화점과일반상점,KOSPI
001440,36360.18,43980.0,46800.29,52789.57,1286.13,2290.14,2566.14,3257.14,0.9707,5639.37,59288,30250,,전기장비,KOSPI
175330,46305.45,,,,9523.14,10267.54,10949.46,11569.0,0.977,,58475,31350,,은행,KOSPI
375500,74024.25,70609.15,71549.05,76943.17,3869.53,5759.75,5759.6,6468.61,0.997,-10892.93,33044,85400,,건설,KOSPI
047040,80546.27,80801.3,90203.3,102077.17,-8154.31,8288.4,8123.3,9084.17,0.9879,31023.76,75936,18480,,건설,KOSPI
353200,10652.95,16028.62,19953.08,23316.23,490.61,2763.38,4066.38,5050.54,0.9995,-2162.12,50850,102900,,전자장비와기기,KOSPI
006360,124503.47,109554.95,118609.09,127561.89,4378.09,4151.5,5936.32,6966.89,0.8692,40469.93,31494,36800,,건설,KOSPI
009540,299332.15,348635.82,380053.73,409596.27,39044.9,61927.36,73808.18,84712.82,0.8002,-110945.45,239567,338500,,조선,KOSPI
085620,51884.29,,,,1945.12,2065.0,2393.0,2472.0,1.0,,26265,19430,,생명보험,KOSPI
004020,227332.37,240241.68,249876.11,255436.78,2192.35,3680.47,6744.21,7811.83,0.8969,81868.27,47240,35400,,철강,KOSPI
004990,155396.27,158221.5,163395.0,169960.0,2394.39,3503.0,4694.0,5355.0,0.5568,76316.01,24318,24400,,복합기업,KOSPI
103590,20445.52,23474.75,25219.25,26765.0,1512.27,2524.75,2765.25,3117.5,1.0,-439.49,35240,73900,,전기장비,KOSPI
031210,27587.2,,,,3757.02,,,,0.9999,,29116,41700,,손해보험,KOSPI
032640,154517.45,153950.5,158064.33,161264.22,8921.31,11498.44,12333.17,13167.89,1.0,45084.03,61669,14530,,무선통신서비스,KOSPI
329180,175806.33,247518.33,266501.44,285912.71,20375.1,40537.22,47419.0,55084.0,1.0,-49151.16,474425,452000,,조선,KOSPI
251270,28350.74,29197.17,29755.11,30875.0,3524.78,3272.17,3717.17,3985.43,0.9756,1205.57,28648,34450,,게임엔터테인먼트,KOSPI
004370,35143.16,37574.86,39609.79,40938.8,1839.33,2323.31,2489.92,2643.1,0.9963,-10975.06,24026,395000,,식품,KOSPI
489790,17909.22,20334.0,23415.0,25948.67,1622.67,2034.0,2967.33,3731.0,1.0,1530.85,23780,47100,,통신장비,KOSPI
036460,357273.36,371722.9,387206.1,379038.67,21011.51,25379.5,24033.5,24626.0,0.9964,330240.39,32910,35650,,가스유틸리티,KOSPI
011170,184830.05,208711.82,192122.91,195097.27,-9431.16,-589.55,503.91,3593.91,0.7997,77206.58,27376,64000,,화학,KOSPI
082740,13710.57,15585.57,21559.14,24853.86,1300.66,2258.57,3761.14,4734.71,1.0,-1676.54,42141,50500,,조선,KOSPI
012750,28894.12,29506.25,31310.75,32895.0,2345.66,2060.75,2536.75,2694.0,0.9999,-1579.0,32109,84500,,상업서비스와공급품,KOSPI
161390,212022.99,225571.76,237660.47,247939.8,18410.76,21857.41,24492.24,26218.6,0.9549,35329.27,72962,58900,,자동차부품,KOSPI
018670,76763.19,100881.25,94949.25,97460.25,4428.31,4569.5,5129.75,5222.75,0.8347,26026.17,22663,244500,,가스유틸리티,KOSPI
001040,450188.29,472677.27,490172.5,513301.25,25277.38,24702.45,27642.0,30864.13,0.4718,168752.98,37434,128300,,복합기업,KOSPI
023530,137383.55,143041.0,147266.92,151067.38,5470.37,7959.38,8662.38,9363.92,0.9253,119784.62,31174,110200,,백화점과일반상점,KOSPI
028670,54328.88,69046.93,69931.5,71714.64,4919.48,6772.07,6826.57,6990.07,1.0,41405.81,31058,5810,,해운사,KOSPI
112610,29316.49,28480.0,32400.0,33191.63,3203.23,3043.4,3380.8,2642.75,0.9778,7948.04,21254,50400,,에너지장비및서비스,KOSPI
081660,44686.46,47469.5,48445.17,49578.0,4747.81,6213.0,6225.33,6392.0,0.6591,13756.9,20626,38850,,"섬유,의류,신발,호화품",KOSPI
035250,14767.27,14664.5,14795.38,16027.86,2353.11,2130.0,2075.75,2706.29,1.0,-29273.88,30807,14400,,"호텔,레스토랑,레저",KOSPI
011780,69151.45,79847.92,78156.42,77693.5,2718.29,5466.83,4436.17,4720.33,0.9999,-853.11,30138,119800,,화학,KOSPI
139130,80409.68,,,,5832.41,6314.46,6889.31,7286.08,0.9753,,28790,18180,,은행,KOSPI
161890,27224.19,31931.6,36000.26,39686.21,2395.95,3458.23,4116.97,4677.11,0.7825,10641.17,34440,145900,,화장품,KOSPI
002790,46231.75,,,,3680.0,,,,0.4246,-16403.41,20338,26600,,화장품,KOSPI
066970,21549.39,35560.0,43704.29,52711.57,-1568.5,2055.86,2370.86,3217.57,1.0,14382.17,44267,108800,,전기제품,KOSPI
000100,21866.38,23471.94,25614.69,28602.69,1043.74,1289.25,2028.44,3026.56,1.0,-959.87,55874,75900,,제약,KOSPI
014680,8839.69,9864.83,11340.17,13477.8,1562.33,1805.17,2276.33,2956.0,0.9689,948.65,23585,218500,,화학,KOSPI
000240,14575.52,14411.0,15601.0,16860.0,4116.26,4211.0,4716.0,5340.0,1.0,-351.78,23402,24650,,자동차부품,KOSPI
097950,273425.89,293045.46,305012.31,317588.67,12336.05,12077.85,13978.54,15265.11,0.7562,115284.69,26405,175400,,식품,KOSPI
003690,67044.02,,,,4709.39,,,,1.0,,26349,14910,,손해보험,KOSPI
005850,52399.39,56064.67,59556.83,63106.0,4070.99,4425.33,4791.33,5491.83,0.9708,-7022.77,23015,49550,,자동차부품,KOSPI
204320,94548.13,98344.83,104224.17,109676.05,3571.21,4115.96,4713.17,5334.95,0.8881,13563.97,22258,47400,,자동차부품,KOSPI
089860,29187.52,30496.6,32314.5,34097.4,3125.03,3505.9,3833.0,4151.2,1.0,44991.09,17882,49250,,도로와철도운송,KOSPI
279570,13348.3,,,,1170.85,1164.0,1986.0,2838.0,,,21867,5390,,은행,KOSPI
026960,5328.79,,,,453.37,,,,0.9892,-7694.47,25424,25500,,식품,KOSPI
069960,42303.21,43099.18,46485.35,48713.82,3779.48,4170.18,5114.47,5593.47,0.9831,13062.4,21608,100200,,백화점과일반상점,KOSPI
009420,1551.85,1694.0,1936.25,2083.0,-9.16,46.0,118.5,55.33,0.5946,147.99,24605,47100,,제약,KOSPI
475150,3856.41,5591.2,1595.2,1658.0,529.98,654.8,841.4,832.5,1.0,3383.52,17238,50600,,에너지장비및서비스,KOSPI
051600,15765.17,16293.8,17041.3,17679.1,1401.02,1746.4,1959.6,2090.2,1.0,-2782.69,20858,46350,,전기유틸리티,KOSPI
454910,329.78,,,,-594.72,,,,,-1686.94,45698,70500,,기계,KOSPI
005440,80916.05,84555.6,88027.0,91899.2,2740.74,3435.4,3791.2,4139.2,0.7569,-3765.19,24245,13220,,복합기업,KOSPI
036570,15069.25,27930.61,31966.17,33573.07,160.78,5209.83,5889.17,6029.21,0.971,-14930.01,44704,207500,,게임엔터테인먼트,KOSPI
