종목코드,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,지배비율,순차입금,시가총액,현재가,PER,업종,시장
267250,712594.0,847697.0,898414.8,962317.4,60996.0,123888.0,115708.8,128127.4,0.3936,7714.96,172995,219000,18.91,조선,KOSPI
055550,646820.0,,,,70234.0,80830.0,84632.75,87826.2,0.993,,521559,111100,4.78,은행,KOSPI
003550,72525.0,82836.0,91153.3,98794.5,9122.0,16183.0,19872.2,21776.25,0.8098,-25430.26,181884,120300,10.92,복합기업,KOSPI
005935,3336059.0,7397268.0,9543904.48,10174549.06,436010.0,3933479.0,5542251.7,5520887.89,0.986,-1675903.07,1526912,190300,36.84,반도체와반도체장비,KOSPI
006400,132667.0,159516.0,198943.95,247105.11,-17224.0,3517.0,14225.7,24413.44,0.7877,106775.0,458532,569000,16.63,전기제품,KOSPI
015760,974293.0,976260.0,989858.17,1008595.0,134906.0,79212.0,114256.58,131965.09,0.9556,1306591.75,207675,32350,,전기유틸리티,KOSPI
009540,299332.0,344955.0,375328.42,403395.0,39045.0,61594.0,73613.75,84268.83,0.7857,-110945.45,250183,353500,38.59,조선,KOSPI
042660,127835.0,158201.0,153566.3,164903.63,11676.0,22530.0,25170.9,28602.0,0.9999,47157.9,269337,87900,33.15,조선,KOSPI
051910,459322.0,562410.0,640724.38,708314.31,11809.0,13021.0,39507.69,55674.85,0.7905,307180.26,199070,282000,29.2,화학,KOSPI
033780,65797.0,69880.0,,,13437.0,15328.0,,,,6188.53,181564,174900,13.14,담배,KOSPI
032830,371383.0,,,,25805.0,34544.0,69533.25,45800.38,1.0,,619000,309500,7.29,생명보험,KOSPI
068270,41625.0,55304.0,63606.18,71216.47,11685.0,18550.0,22666.59,25636.65,0.9934,26085.71,437320,188000,55.43,제약,KOSPI
018260,139299.0,144066.0,151589.0,160093.62,9571.0,8247.0,10713.36,11853.69,0.9805,-57031.26,189576,245000,18.97,IT서비스,KOSPI
012330,611181.0,650048.0,693794.16,730479.45,33575.0,37898.0,42581.88,46114.36,0.9977,-89091.2,398354,443500,6.52,자동차부품,KOSPI
105560,812307.0,,,,85177.0,94214.0,95762.0,98427.44,0.9917,,607225,171200,4.77,은행,KOSPI
000810,247785.0,,,,26591.0,31986.0,37928.08,36586.31,1.0,,302263,677000,7.31,손해보험,KOSPI
035420,120350.0,137915.0,156560.0,181467.0,22081.0,22171.0,25835.09,30038.44,0.9977,-37918.97,326964,215000,36.25,양방향미디어와서비스,KOSPI
003670,29387.0,32950.0,42661.25,55245.93,328.0,1008.0,1814.31,2833.13,0.8926,35152.63,170154,191300,968.71,화학,KOSPI
000270,1141409.0,1258048.0,1317139.8,1369460.1,90781.0,102549.0,113708.0,122624.76,1.0,-211997.07,512222,131200,4.59,자동차,KOSPI
012450,267029.0,323988.0,346782.83,370515.72,30893.0,46496.0,57204.44,63569.33,0.651,67515.16,545541,1058000,7.98,우주항공과국방,KOSPI
034730,1227033.0,1481145.0,1452195.7,1523373.0,18185.0,119911.0,111601.4,132941.38,0.3931,496014.83,424866,586000,,석유와가스,KOSPI
011200,108914.0,128212.0,118255.15,115315.69,14612.0,16139.0,10364.85,8811.92,0.9999,-65426.06,201381,21350,10.71,해운사,KOSPI
267260,40795.0,46914.0,55468.73,64687.21,9953.0,12324.0,15512.33,18903.79,1.0,-8268.76,277202,769000,11.43,전기장비,KOSPI
010130,165879.0,239348.0,238733.43,247067.33,12319.0,22605.0,19968.86,21588.83,0.9981,60740.67,261121,1251000,19.06,비철금속,KOSPI
086790,689436.0,,,,53509.0,59861.0,62482.29,65105.94,0.9849,,376981,137400,3.74,은행,KOSPI
005490,690949.0,735681.0,760188.82,785304.75,18271.0,30976.0,38264.82,44025.44,0.9089,179179.05,270214,341000,24.88,철강,KOSPI
035720,80991.0,83486.0,89938.32,97538.25,7320.0,10352.0,11836.0,13421.63,0.8927,-90183.57,161688,36500,,양방향미디어와서비스,KOSPI
278470,15273.0,30807.0,42364.16,52158.67,3655.0,7669.0,10738.58,13385.78,0.9986,-1952.48,161920,432500,17.59,화장품,KOSPI
028260,407422.0,455221.0,491738.46,513038.33,32927.0,38073.0,44105.77,47672.17,0.7059,-38038.9,633264,390500,10.95,복합기업,KOSPI
086280,295664.0,331591.0,345729.82,359207.5,20730.0,21592.0,23576.06,24881.25,0.9982,-5446.09,157125,209500,6.77,항공화물운송과물류,KOSPI
017670,170992.0,176619.0,180111.68,183894.47,10732.0,19622.0,20797.11,21991.68,1.0,82031.19,203191,94600,10.03,무선통신서비스,KOSPI
402340,104556.0,97064.0,132696.0,136542.0,87974.0,463802.0,582916.0,591750.0,1.0,-13112.77,1407629,1067000,,반도체와반도체장비,KOSPI
000720,310629.0,269155.0,285921.37,307392.47,6530.0,8707.0,11267.42,13735.47,0.7654,6231.61,134406,120700,7.32,건설,KOSPI
207940,45570.0,54951.0,64069.0,68466.8,20692.0,24162.0,28197.58,30980.9,0.9985,-9473.01,703622,1520000,92.82,제약,KOSPI
030200,282442.0,273992.0,280121.53,286045.95,24691.0,21112.0,22520.74,23547.68,0.9322,95653.68,136092,54000,8.85,다각화된통신서비스,KOSPI
005380,1862545.0,1940652.0,2031223.32,2131610.14,114679.0,114811.0,132761.88,142985.57,0.9145,1025242.74,820055,400500,4.67,자동차,KOSPI
272210,36642.0,45290.0,51629.33,59598.27,1199.0,2486.0,4550.2,5838.53,1.0,17248.57,133377,70600,9.39,우주항공과국방,KOSPI
000660,971467.0,3456989.0,5071771.52,5500796.89,472063.0,2664365.0,3972243.17,4067493.16,0.9986,-668447.84,12367236,1693000,,반도체와반도체장비,KOSPI
009150,113145.0,143443.0,183316.4,234218.06,9133.0,19448.0,37297.45,58710.0,0.9622,-2270.93,1068120,1430000,28.11,전자장비와기기,KOSPI
047810,36964.0,53948.0,66974.47,75347.0,2692.0,3570.0,5910.07,7433.4,0.9915,27887.67,123988,127200,21.76,우주항공과국방,KOSPI
078930,251841.0,286613.0,281332.2,283044.0,29361.0,51701.0,36700.0,36994.0,0.8263,61654.03,115841,124700,2.98,석유와가스,KOSPI
010950,342470.0,421783.0,396548.93,378377.36,2356.0,43722.0,32570.5,27677.86,1.0,75316.31,170788,151700,8.55,석유와가스,KOSPI
066570,892009.0,966485.0,1010770.71,1052523.07,24784.0,46395.0,49360.82,60193.13,0.8057,41258.6,336357,206500,25.82,전자제품,KOSPI
329180,175806.0,247791.0,266723.5,286262.4,20375.0,40521.0,47403.88,54808.53,1.0,-49151.16,475474,453000,463.89,조선,KOSPI
064350,58390.0,68267.0,78138.0,89384.81,10056.0,10808.0,13475.12,16849.56,0.9965,-24542.29,142212,130300,18.03,우주항공과국방,KOSPI
003230,23518.0,31394.0,37661.5,42831.82,5242.0,7338.0,8935.0,10461.27,1.0,424.07,112393,1492000,12.89,식품,KOSPI
071050,194661.0,419870.0,417760.0,419820.0,23453.0,40460.0,32844.4,33520.62,0.9978,,106437,191000,5.34,증권,KOSPI
079550,43069.0,51156.0,60632.81,71195.56,3194.0,4475.0,6270.75,8419.63,1.0,16723.11,150700,685000,16.41,우주항공과국방,KOSPI
011070,218966.0,254999.0,268909.47,283138.25,6650.0,12757.0,14683.26,17479.81,1.0,9425.44,139636,590000,10.03,전자장비와기기,KOSPI
024110,292172.0,,,,36556.0,37151.0,40117.54,42377.25,0.9937,,166662,20900,3.54,은행,KOSPI
373220,236718.0,322163.0,413328.37,497637.94,13461.0,8254.0,38513.53,61264.18,0.7185,250840.51,858780,367000,80.86,전기제품,KOSPI
042700,5767.0,8196.0,11239.0,13148.0,2514.0,3822.0,5617.0,6843.0,1.0,-862.95,204921,215000,22.48,반도체와반도체장비,KOSPI
005940,136989.0,360954.0,335076.0,334831.0,14206.0,23399.0,20425.13,20576.54,0.9901,,97840,26500,6.51,증권,KOSPI
316140,415484.0,,,,36748.0,43793.0,47979.69,50413.67,0.971,,254560,34550,3.84,은행,KOSPI
307950,42521.0,48256.0,54904.25,64261.5,2553.0,2824.0,3537.0,4478.57,0.9753,-4619.81,111341,406000,42.1,IT서비스,KOSPI
010140,106500.0,128097.0,146560.74,159870.39,8622.0,13814.0,19722.53,23461.33,1.0,-1987.7,184800,21000,,조선,KOSPI
005930,3336059.0,7397268.0,9543904.48,10174549.06,436010.0,3933479.0,5542251.7,5520887.89,0.986,-1675903.07,15258787,261000,36.84,반도체와반도체장비,KOSPI
096770,802961.0,1041172.0,953858.83,954075.42,4487.0,87325.0,45473.17,43849.75,0.8956,261185.73,228728,135300,53.47,석유와가스,KOSPI
000150,197841.0,218424.0,252348.5,284230.0,10627.0,18125.0,25064.08,31031.0,0.5085,54570.67,195298,1206000,,복합기업,KOSPI
443060,19827.0,23403.0,26506.7,30631.3,3501.0,4185.0,5358.9,6713.7,1.0,-5145.06,91012,203000,30.44,조선,KOSPI
180640,2984.0,,,,-75.0,,,,0.9738,823.32,86657,129800,12.72,항공사,KOSPI
323410,30863.0,,,,6494.0,7390.0,8803.58,9725.45,,,104728,21950,38.29,은행,KOSPI
010120,49658.0,65171.0,79628.13,93659.47,4264.0,7140.0,10279.75,13348.6,1.0,8044.96,306750,204500,10.66,전기장비,KOSPI
003490,252255.0,282575.0,280124.27,287559.09,11136.0,11594.0,22211.36,25969.91,1.0,192096.56,105863,28750,8.32,항공사,KOSPI
006800,292830.0,583885.0,482449.33,504779.0,19151.0,47798.0,26153.73,27203.73,0.9726,,189514,34900,18.04,증권,KOSPI
298040,59685.0,71938.0,85610.93,100314.0,7470.0,11259.0,15560.64,20219.31,0.9856,5156.8,271904,2916000,13.02,전기장비,KOSPI
090430,42528.0,47146.0,51516.78,56003.94,3358.0,4830.0,5574.56,6358.0,0.9569,-8086.94,85575,146300,55.59,화장품,KOSPI
006260,318700.0,410612.0,434859.8,457396.89,10526.0,19999.0,22439.8,25550.67,0.6272,104616.6,96720,310000,6.88,전기장비,KOSPI
028050,90288.0,107192.0,128984.38,141388.95,7921.0,9821.0,11916.38,13245.84,0.9729,-36619.52,89768,45800,7.54,건설,KOSPI
047050,323736.0,351532.0,361221.77,371022.77,11653.0,14688.0,15554.77,16386.54,0.9582,67614.96,97285,55300,16.28,무역회사와판매업체,KOSPI
034020,170579.0,183496.0,205117.87,229429.53,7627.0,11308.0,16235.73,20569.27,0.6411,45793.89,521417,81400,183.04,기계,KOSPI
005830,230479.0,,,,23840.0,,,,0.7872,,126154,192600,3.41,손해보험,KOSPI
161390,212023.0,225572.0,237660.47,247939.8,18411.0,21857.0,24492.24,26218.6,0.9549,35329.27,83492,67400,7.81,자동차부품,KOSPI
259960,33266.0,48577.0,52209.0,55798.67,10544.0,14616.0,15897.61,16903.73,0.9918,-21242.54,105678,231000,15.84,게임엔터테인먼트,KOSPI
016360,148739.0,310320.0,284730.0,285430.0,13757.0,23353.0,21027.56,21165.21,1.0,,78852,88300,6.28,증권,KOSPI
007660,10880.0,16061.0,22066.89,25819.44,2047.0,3444.0,5128.67,6235.56,1.0,408.18,81558,111100,39.81,반도체와반도체장비,KOSPI
352820,26499.0,48682.0,43022.65,46571.22,493.0,2847.0,4894.9,5471.89,0.9687,-7203.21,76730,178000,51.84,방송과엔터테인먼트,KOSPI
000880,747854.0,927340.0,963340.0,1000900.0,41469.0,74220.0,89260.0,96820.0,0.3107,46978.59,68421,128300,7.95,복합기업,KOSPI
039490,171217.0,387734.0,339228.5,334113.5,14882.0,23068.0,19332.12,19518.93,1.0,,73964,282000,6.62,증권,KOSPI
064400,61295.0,65727.0,71639.73,78271.2,5518.0,5820.0,6668.0,7359.8,0.9973,-10425.1,73440,75800,13.5,IT서비스,KOSPI
009830,133331.0,180821.0,191326.79,200050.79,-3648.0,8192.0,12229.57,14121.36,0.9855,128985.87,74439,33100,,에너지장비및서비스,KOSPI
326030,7067.0,9778.0,11873.38,13877.27,2039.0,3470.0,4678.13,6051.4,1.0,-3330.46,69699,89000,,제약,KOSPI
021240,49636.0,56966.0,64071.25,71289.5,8787.0,10133.0,11836.0,12775.5,1.0,25247.31,69211,97800,8.96,가정용기기와용품,KOSPI
005387,1862545.0,1940652.0,2031223.32,2131610.14,114679.0,114811.0,132761.88,142985.57,0.9145,1025242.74,66711,190800,4.67,자동차,KOSPI
047040,80546.0,81084.0,90644.89,102088.44,-8154.0,8310.0,8159.17,9186.44,0.988,31023.76,69115,16820,3.37,건설,KOSPI
032640,154517.0,153950.0,158064.33,161264.22,8921.0,11498.0,12333.17,13168.06,1.0,45084.03,64598,15220,7.17,무선통신서비스,KOSPI
267270,37765.0,93778.0,104073.67,112353.33,1709.0,7602.0,9271.17,10903.67,1.0,9841.04,62107,129600,7.31,기계,KOSPI
377300,9584.0,12932.0,15015.17,17974.17,504.0,1700.0,2023.67,2468.67,0.8745,-44393.61,62090,45900,2624.66,IT서비스,KOSPI
000500,25457.0,32528.0,38910.0,45020.0,792.0,1382.0,2870.0,4140.0,1.0,4290.98,62086,208500,7.75,전기장비,KOSPI
128940,15475.0,17597.0,17887.22,19011.65,2578.0,3668.0,3096.44,3116.82,0.9094,90.87,63030,492000,30.88,제약,KOSPI
001440,36360.0,43980.0,46800.29,52789.57,1286.0,2290.0,2566.14,3257.14,0.9727,5639.37,56152,28650,17.94,전기장비,KOSPI
062040,5019.0,6852.0,8807.3,11180.22,1786.0,2554.0,3384.4,4380.78,1.0,-2155.58,59937,195600,21.35,전기장비,KOSPI
000100,21866.0,23466.0,25638.33,28680.2,1044.0,1300.0,2044.33,3025.67,1.0,-959.87,60880,82700,41.11,제약,KOSPI
353200,10653.0,16042.0,20061.54,23472.69,491.0,2770.0,4093.69,5087.0,0.9995,-2162.12,55100,111500,54.91,전자장비와기기,KOSPI
175330,46305.0,,,,9523.0,10225.0,10891.0,11507.33,0.9766,,54558,29250,3.83,은행,KOSPI
241560,87919.0,94989.0,99982.67,105697.0,6861.0,8433.0,9515.83,10663.0,1.0,-3060.2,59527,62100,5.48,기계,KOSPI
029780,43829.0,46925.0,47337.5,49162.5,8537.0,8148.0,8496.67,8763.33,0.9989,,53353,46050,6.15,카드,KOSPI
088350,274364.0,,,,11472.0,17330.0,17680.0,18712.0,0.7668,,51417,5920,3.24,생명보험,KOSPI
066970,21549.0,35787.0,43291.15,51865.92,-1568.0,2208.0,2380.08,3179.85,0.984,14382.17,53378,131200,,전기제품,KOSPI
271560,33324.0,37958.0,40567.64,42730.44,5583.0,6454.0,7063.86,7555.44,0.9831,-12166.55,51269,129700,12.19,식품,KOSPI
036570,15069.0,27825.0,31957.88,33464.31,161.0,5184.0,6045.76,6192.38,0.9747,-14930.01,48259,224000,24.89,게임엔터테인먼트,KOSPI
010060,33801.0,41113.0,45935.43,50756.29,-576.0,3468.0,5565.43,6588.86,0.8039,9586.85,49196,263500,,화학,KOSPI
454910,330.0,,,,-595.0,,,,,-1686.94,44726,69000,,기계,KOSPI
005385,1862545.0,1940652.0,2031223.32,2131610.14,114679.0,114811.0,132761.88,142985.57,0.9145,1025242.74,44535,190800,4.67,자동차,KOSPI
034220,258101.0,253470.0,263881.86,270728.86,5170.0,9649.0,14046.0,17013.43,0.9524,119989.1,46400,9280,,디스플레이패널,KOSPI
138930,101525.0,,,,9027.0,10035.0,11143.71,11736.92,0.9741,,47284,15410,3.62,은행,KOSPI
051900,63555.0,64646.0,67810.0,70681.23,1707.0,3796.0,4488.21,4941.08,0.9705,-11373.38,45825,306000,44.06,화장품,KOSPI
001450,181104.0,,,,12610.0,,,,0.9812,,45523,53400,4.82,손해보험,KOSPI
000990,13972.0,16680.0,18680.0,21110.0,2773.0,4010.0,5280.0,5840.0,0.9941,-9156.2,41068,94400,9.87,반도체와반도체장비,KOSPI
001040,450188.0,473892.0,492926.11,519177.14,25277.0,25276.0,28480.0,32197.57,0.4723,168752.98,38980,133600,17.28,복합기업,KOSPI
011790,18400.0,24877.0,29587.5,34605.0,-3050.0,-688.0,762.5,2495.0,0.8883,22288.37,43994,88700,,화학,KOSPI
004020,227332.0,239730.0,249135.06,254562.0,2192.0,3683.0,6837.06,7948.31,0.9115,81868.27,41101,30800,10.56,철강,KOSPI
002380,64838.0,68364.0,71828.6,75167.8,4276.0,4473.0,5028.4,5384.4,1.0,42230.96,42406,493500,9.55,건축자재,KOSPI
082740,13711.0,15541.0,21435.43,24796.43,1301.0,2273.0,3720.86,4694.0,1.0,-1676.54,39929,47850,,조선,KOSPI
004170,69295.0,73096.0,76284.65,79570.25,4800.0,7892.0,8712.76,9323.88,0.8363,39443.1,41181,436000,7.66,백화점과일반상점,KOSPI
052690,5188.0,5769.0,7367.2,9142.8,355.0,646.0,949.6,1513.1,0.9892,-830.03,42233,110500,72.68,전기유틸리티,KOSPI
161890,27224.0,31894.0,35878.54,39563.83,2396.0,3451.0,4102.65,4660.89,0.7817,10641.17,36588,155000,236.22,화장품,KOSPI
018880,108837.0,113387.0,117890.45,123224.72,2704.0,4270.0,4976.7,5558.33,0.9894,28264.69,36330,3540,80.7,자동차부품,KOSPI
111770,40636.0,45224.0,47373.86,50145.17,5144.0,6425.0,7164.71,7986.83,1.0,-7396.17,33012,74500,3.92,"섬유,의류,신발,호화품",KOSPI
103590,20446.0,23476.0,25219.75,26766.0,1512.0,2524.0,2766.0,3117.0,1.0,-439.49,33904,71100,12.22,전기장비,KOSPI
036460,357273.0,368817.0,373667.71,371109.71,21012.0,25453.0,24047.57,24802.0,1.0,330240.39,34617,37500,,가스유틸리티,KOSPI
251270,28351.0,29401.0,30150.71,31349.23,3525.0,3347.0,3866.41,4212.0,0.975,1205.57,32265,38800,,게임엔터테인먼트,KOSPI
022100,10752.0,9993.0,11930.0,14487.0,604.0,404.0,735.0,1161.0,0.9898,-2469.25,32992,21700,122.78,IT서비스,KOSPI
011780,69151.0,79501.0,77695.58,78041.83,2718.0,5425.0,4421.17,4739.5,0.9999,-853.11,32730,130100,9.57,화학,KOSPI
035250,14767.0,14803.0,15115.4,16154.67,2353.0,2238.0,2217.5,2567.44,1.0,-29273.88,31556,14750,10.04,"호텔,레스토랑,레저",KOSPI
023530,137384.0,142934.0,147104.93,150802.77,5470.0,8001.0,8680.0,9341.31,0.9287,119784.62,32051,113300,12.17,백화점과일반상점,KOSPI
192820,23988.0,29686.0,34597.83,39242.35,1958.0,2567.0,3151.83,3698.53,0.9575,7500.21,32573,287000,25.11,화장품,KOSPI
085620,51884.0,,,,1945.0,2065.0,2393.0,2472.0,1.0,,30348,22450,9.31,생명보험,KOSPI
031210,27587.0,,,,3757.0,,,,0.9999,,30477,43650,12.94,손해보험,KOSPI
008930,13570.0,,,,1387.0,,,,1.0,856.68,31323,45800,23.82,제약,KOSPI
012750,28894.0,29506.0,31310.75,32895.0,2346.0,2061.0,2536.75,2694.0,0.9999,-1579.0,30931,81400,12.03,상업서비스와공급품,KOSPI
028670,54329.0,69167.0,70375.46,72012.69,4919.0,6763.0,6810.92,6990.85,1.0,41405.81,29936,5600,8.15,해운사,KOSPI
