종목코드,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,지배비율,순차입금,시가총액,현재가,PER,업종,시장
005935,3336059.38,7389696.95,9590471.05,10242912.94,436010.51,3908322.27,5563319.05,5576365.11,0.9873,-1675903.07,1559007,194300,,반도체와반도체장비,KOSPI
000660,971466.75,3439269.39,5062789.26,5562404.79,472063.19,2649256.61,3973945.26,4105474.74,0.9986,-668447.84,12834751,1757000,,반도체와반도체장비,KOSPI
402340,104555.53,180990.0,228216.67,230443.33,87974.21,482125.33,600482.5,606465.0,1.0,-13112.77,1341667,1017000,,반도체와반도체장비,KOSPI
005930,3336059.38,7389696.95,9590471.05,10242912.94,436010.51,3908322.27,5563319.05,5576365.11,0.9873,-1675903.07,14820316,253500,,반도체와반도체장비,KOSPI
012450,267029.01,324104.0,346517.32,371269.32,30893.2,46453.95,57056.37,63529.53,0.6486,67515.16,545025,1057000,,우주항공과국방,KOSPI
105560,812307.08,,,,85177.11,94482.56,95887.75,98431.93,0.9916,,627797,177000,,은행,KOSPI
028260,407422.41,455707.07,493136.15,514226.67,32927.47,38109.0,44037.31,47717.17,0.7038,-38038.9,570019,351500,,복합기업,KOSPI
032830,371383.1,,,,25804.69,34544.25,69533.25,45800.38,1.0,,570000,285000,,생명보험,KOSPI
068270,41624.95,55371.11,63834.76,71576.24,11684.71,18582.83,22796.12,25822.65,0.9938,26085.71,412663,177400,,제약,KOSPI
034730,1227033.38,1498106.36,1465789.73,1525543.78,18184.76,123365.55,118064.0,136976.78,0.3895,496014.83,400215,552000,,석유와가스,KOSPI
086790,689436.35,,,,53508.98,59870.47,62471.88,65090.5,0.9849,,371771,137200,,은행,KOSPI
006400,132667.31,159236.47,197164.89,242770.59,-17223.61,3894.84,14703.05,25229.94,0.8598,106775.0,439997,546000,,전기제품,KOSPI
010120,49657.99,65415.13,80098.75,94441.47,4264.07,7199.81,10368.5,13510.6,1.0,8044.96,298500,199000,,전기장비,KOSPI
298040,59685.12,71937.5,85611.07,100314.0,7469.68,11297.29,15675.29,20398.85,0.9855,5156.8,260808,2797000,,전기장비,KOSPI
005490,690948.86,736454.05,761427.89,787309.78,18270.63,30929.47,38389.58,44428.17,0.9054,179179.05,259120,327000,,철강,KOSPI
000810,247785.2,,,,26591.43,32316.92,38353.46,37044.0,1.0,,296459,664000,,손해보험,KOSPI
000150,197841.38,218423.83,252348.5,284230.0,10627.15,18124.92,25064.08,31031.0,0.5085,54570.67,224123,1384000,,복합기업,KOSPI
009540,299332.15,344961.08,375340.58,403408.42,39044.9,61584.5,73629.83,84285.17,0.8016,-110945.45,235674,333000,,조선,KOSPI
096770,802960.54,1039771.69,943699.15,936494.0,4486.84,88342.85,45906.38,42462.46,0.8835,261185.73,231433,136900,,석유와가스,KOSPI
042700,5766.85,8196.0,11239.0,13148.0,2513.9,3822.0,5617.0,6843.0,1.0,-862.95,215882,226500,,반도체와반도체장비,KOSPI
017670,170992.13,176591.15,180127.6,184044.25,10732.15,19601.15,20848.25,22035.6,1.0,82031.19,189660,88300,,무선통신서비스,KOSPI
010140,106500.11,128043.0,147291.2,160230.32,8622.11,13715.45,19732.7,23490.26,1.0,-1987.7,179080,20350,,조선,KOSPI
006800,292830.28,582144.67,493576.0,520335.67,19151.04,47817.2,26232.4,27610.4,0.9734,,173224,31900,,증권,KOSPI
035720,80991.48,83383.0,89654.32,97198.25,7320.37,10366.58,11835.47,13471.0,0.892,-90183.57,149069,33650,,양방향미디어와서비스,KOSPI
373220,236717.59,323616.28,417035.5,496609.71,13461.2,8404.89,39895.94,61263.59,0.7587,250840.51,857610,366500,,전기제품,KOSPI
307950,42520.67,48316.33,54661.87,63361.62,2553.02,2836.4,3518.87,4420.0,0.9755,-4619.81,99960,364500,,IT서비스,KOSPI
003550,72525.47,82742.33,91080.67,99222.63,9121.74,16127.56,20042.33,22994.38,0.8196,-25430.26,170998,113100,,복합기업,KOSPI
000720,310629.12,269351.95,285995.8,307547.89,6530.06,8689.35,11276.05,13761.83,0.7674,6231.61,138081,124000,,건설,KOSPI
012330,611181.27,649982.56,693712.56,730798.59,33574.56,37863.84,42499.88,46209.05,0.9977,-89091.2,344462,383500,,자동차부품,KOSPI
009150,113144.59,143411.85,183218.45,234175.28,9133.31,19468.0,37320.5,58742.22,0.9622,-2270.93,1024798,1372000,,전자장비와기기,KOSPI
278470,15273.45,30821.75,42601.45,52624.68,3655.21,7656.95,10795.55,13506.89,0.9986,-1952.48,131221,350500,,화장품,KOSPI
047810,36963.79,53896.35,67197.59,75705.59,2691.9,3523.12,5845.53,7390.65,0.9904,27887.67,122819,126000,,우주항공과국방,KOSPI
011070,218966.03,254998.63,268909.47,283138.25,6650.07,12757.32,14683.26,17479.81,1.0,9425.44,121176,512000,,전자장비와기기,KOSPI
035420,120350.07,137904.17,157115.57,182214.53,22081.38,21970.3,25750.65,30073.79,0.998,-37918.97,307231,202000,,양방향미디어와서비스,KOSPI
267260,40794.98,46914.13,55469.0,64687.29,9953.13,12327.13,15511.4,18902.79,1.0,-8268.76,255574,709000,,전기장비,KOSPI
066570,892008.82,966484.59,1010770.71,1052523.07,24783.92,46394.53,49360.82,60193.13,0.8057,41258.6,325118,199600,,전자제품,KOSPI
316140,415483.95,,,,36748.08,43792.63,47979.69,50413.67,0.971,,267454,36300,,은행,KOSPI
078930,251841.27,286612.8,281332.2,283044.0,29360.61,51915.0,36700.0,36994.0,0.8262,61654.03,103486,111400,,석유와가스,KOSPI
015760,974293.46,976316.69,989840.85,1008147.08,134905.57,78234.69,110807.31,129654.67,0.9593,1306591.75,199330,31050,,전기유틸리티,KOSPI
047040,80546.27,80858.95,90325.89,101602.88,-8154.31,8269.32,8120.26,9066.18,0.9881,31023.76,76470,18610,,건설,KOSPI
267250,712594.38,847697.0,898414.8,962317.4,60996.36,123888.0,115708.8,128127.4,0.3936,7714.96,172600,218500,,조선,KOSPI
011200,108914.43,128212.08,118255.15,115315.69,14612.02,16138.77,10364.85,8811.92,1.0,-65426.06,193364,20500,,해운사,KOSPI
